ID,SimNumber,RQAclass,PEclass,HVAclass,DTclass
21,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
22,Sim.2,chaotic,chaotic,not chaotic,not chaotic
23,Sim.2,chaotic,chaotic,not chaotic,chaotic
24,Sim.2,chaotic,chaotic,not chaotic,not chaotic
25,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
26,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
27,Sim.2,not chaotic,chaotic,not chaotic,chaotic
28,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
29,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
30,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
31,Sim.2,chaotic,chaotic,not chaotic,not chaotic
32,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
33,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
34,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
35,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
36,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
37,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
38,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
39,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
40,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
41,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
42,Sim.2,not chaotic,not chaotic,not chaotic,chaotic
43,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
44,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
45,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
46,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
47,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
48,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
49,Sim.2,chaotic,chaotic,chaotic,chaotic
50,Sim.2,chaotic,chaotic,chaotic,chaotic
51,Sim.2,not chaotic,chaotic,not chaotic,chaotic
52,Sim.2,chaotic,chaotic,chaotic,chaotic
53,Sim.2,chaotic,chaotic,chaotic,chaotic
54,Sim.2,chaotic,chaotic,chaotic,chaotic
55,Sim.2,chaotic,chaotic,chaotic,chaotic
56,Sim.2,chaotic,chaotic,chaotic,chaotic
57,Sim.2,not chaotic,chaotic,chaotic,chaotic
58,Sim.2,chaotic,chaotic,chaotic,chaotic
59,Sim.2,chaotic,chaotic,chaotic,chaotic
60,Sim.2,chaotic,chaotic,chaotic,chaotic
61,Sim.2,not chaotic,chaotic,chaotic,chaotic
62,Sim.2,chaotic,chaotic,chaotic,chaotic
63,Sim.2,chaotic,chaotic,chaotic,not chaotic
64,Sim.2,chaotic,chaotic,chaotic,not chaotic
65,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
66,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
67,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
68,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
69,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
70,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
71,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
72,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
73,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
74,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
75,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
76,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
77,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
78,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
79,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
80,Sim.2,not chaotic,chaotic,chaotic,not chaotic
81,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
82,Sim.2,chaotic,chaotic,not chaotic,not chaotic
83,Sim.2,chaotic,chaotic,not chaotic,not chaotic
84,Sim.2,chaotic,not chaotic,not chaotic,not chaotic
85,Sim.2,not chaotic,chaotic,chaotic,not chaotic
86,Sim.2,not chaotic,chaotic,not chaotic,not chaotic
87,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
88,Sim.2,chaotic,not chaotic,chaotic,not chaotic
89,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
90,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
91,Sim.2,chaotic,not chaotic,chaotic,not chaotic
92,Sim.2,chaotic,not chaotic,chaotic,not chaotic
93,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
94,Sim.2,not chaotic,not chaotic,not chaotic,not chaotic
95,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
96,Sim.2,not chaotic,not chaotic,chaotic,not chaotic
1,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
2,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
3,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
4,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
5,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
6,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
7,Sim.3,chaotic,not chaotic,not chaotic,chaotic
8,Sim.3,not chaotic,not chaotic,not chaotic,chaotic
9,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
10,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
11,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
12,Sim.3,not chaotic,not chaotic,not chaotic,chaotic
13,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
14,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
15,Sim.3,chaotic,not chaotic,not chaotic,chaotic
16,Sim.3,not chaotic,not chaotic,not chaotic,chaotic
17,Sim.3,chaotic,chaotic,not chaotic,not chaotic
18,Sim.3,chaotic,chaotic,not chaotic,not chaotic
19,Sim.3,chaotic,chaotic,not chaotic,chaotic
20,Sim.3,chaotic,chaotic,not chaotic,not chaotic
21,Sim.3,chaotic,chaotic,not chaotic,not chaotic
22,Sim.3,chaotic,chaotic,not chaotic,not chaotic
23,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
24,Sim.3,chaotic,chaotic,not chaotic,not chaotic
25,Sim.3,chaotic,chaotic,not chaotic,chaotic
26,Sim.3,chaotic,chaotic,not chaotic,not chaotic
27,Sim.3,not chaotic,chaotic,not chaotic,chaotic
28,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
29,Sim.3,not chaotic,chaotic,not chaotic,chaotic
30,Sim.3,chaotic,chaotic,not chaotic,not chaotic
31,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
32,Sim.3,chaotic,chaotic,not chaotic,not chaotic
33,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
34,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
35,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
36,Sim.3,not chaotic,not chaotic,chaotic,not chaotic
37,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
38,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
39,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
40,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
41,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
42,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
43,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
44,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
45,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
46,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
47,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
48,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
49,Sim.3,chaotic,chaotic,chaotic,chaotic
50,Sim.3,chaotic,chaotic,chaotic,chaotic
51,Sim.3,chaotic,chaotic,chaotic,chaotic
52,Sim.3,chaotic,chaotic,chaotic,chaotic
53,Sim.3,chaotic,chaotic,chaotic,chaotic
54,Sim.3,chaotic,chaotic,chaotic,chaotic
55,Sim.3,chaotic,chaotic,chaotic,chaotic
56,Sim.3,chaotic,chaotic,chaotic,chaotic
57,Sim.3,chaotic,chaotic,chaotic,chaotic
58,Sim.3,chaotic,chaotic,chaotic,chaotic
59,Sim.3,not chaotic,chaotic,chaotic,chaotic
60,Sim.3,chaotic,chaotic,chaotic,chaotic
61,Sim.3,not chaotic,chaotic,chaotic,not chaotic
62,Sim.3,chaotic,chaotic,chaotic,not chaotic
63,Sim.3,not chaotic,chaotic,chaotic,chaotic
64,Sim.3,chaotic,chaotic,chaotic,chaotic
65,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
66,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
67,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
68,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
69,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
70,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
71,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
72,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
73,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
74,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
75,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
76,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
77,Sim.3,not chaotic,not chaotic,chaotic,not chaotic
78,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
79,Sim.3,not chaotic,chaotic,chaotic,not chaotic
80,Sim.3,not chaotic,chaotic,not chaotic,not chaotic
81,Sim.3,chaotic,chaotic,not chaotic,not chaotic
82,Sim.3,chaotic,chaotic,not chaotic,not chaotic
83,Sim.3,chaotic,chaotic,not chaotic,not chaotic
84,Sim.3,chaotic,chaotic,not chaotic,not chaotic
85,Sim.3,not chaotic,chaotic,chaotic,not chaotic
86,Sim.3,not chaotic,chaotic,chaotic,not chaotic
87,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
88,Sim.3,not chaotic,chaotic,chaotic,not chaotic
89,Sim.3,chaotic,not chaotic,chaotic,not chaotic
90,Sim.3,not chaotic,not chaotic,chaotic,not chaotic
91,Sim.3,chaotic,not chaotic,not chaotic,not chaotic
92,Sim.3,not chaotic,not chaotic,chaotic,not chaotic
93,Sim.3,not chaotic,not chaotic,chaotic,not chaotic
94,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
95,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
96,Sim.3,not chaotic,not chaotic,not chaotic,not chaotic
1,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
2,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
3,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
4,Sim.4,not chaotic,not chaotic,not chaotic,chaotic
5,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
6,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
7,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
8,Sim.4,chaotic,not chaotic,not chaotic,chaotic
9,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
10,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
11,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
12,Sim.4,chaotic,not chaotic,not chaotic,chaotic
13,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
14,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
15,Sim.4,not chaotic,not chaotic,not chaotic,chaotic
16,Sim.4,chaotic,not chaotic,not chaotic,chaotic
17,Sim.4,chaotic,chaotic,not chaotic,chaotic
18,Sim.4,chaotic,chaotic,not chaotic,not chaotic
19,Sim.4,chaotic,chaotic,not chaotic,chaotic
20,Sim.4,chaotic,chaotic,not chaotic,not chaotic
21,Sim.4,chaotic,chaotic,not chaotic,chaotic
22,Sim.4,chaotic,chaotic,not chaotic,not chaotic
23,Sim.4,chaotic,chaotic,not chaotic,not chaotic
24,Sim.4,chaotic,chaotic,not chaotic,not chaotic
25,Sim.4,chaotic,chaotic,not chaotic,not chaotic
26,Sim.4,chaotic,chaotic,not chaotic,not chaotic
27,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
28,Sim.4,not chaotic,chaotic,not chaotic,chaotic
29,Sim.4,chaotic,chaotic,not chaotic,not chaotic
30,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
31,Sim.4,chaotic,chaotic,not chaotic,not chaotic
32,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
33,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
34,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
35,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
36,Sim.4,chaotic,not chaotic,chaotic,not chaotic
37,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
38,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
39,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
40,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
41,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
42,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
43,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
44,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
45,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
46,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
47,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
48,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
49,Sim.4,not chaotic,chaotic,chaotic,chaotic
50,Sim.4,chaotic,chaotic,chaotic,chaotic
51,Sim.4,chaotic,chaotic,chaotic,chaotic
52,Sim.4,chaotic,chaotic,chaotic,chaotic
53,Sim.4,chaotic,chaotic,chaotic,chaotic
54,Sim.4,chaotic,chaotic,chaotic,chaotic
55,Sim.4,chaotic,chaotic,chaotic,chaotic
56,Sim.4,chaotic,chaotic,chaotic,chaotic
57,Sim.4,not chaotic,chaotic,chaotic,chaotic
58,Sim.4,not chaotic,chaotic,not chaotic,chaotic
59,Sim.4,chaotic,chaotic,chaotic,not chaotic
60,Sim.4,chaotic,not chaotic,chaotic,not chaotic
61,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
62,Sim.4,not chaotic,chaotic,chaotic,not chaotic
63,Sim.4,not chaotic,chaotic,chaotic,not chaotic
64,Sim.4,chaotic,chaotic,chaotic,not chaotic
65,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
66,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
67,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
68,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
69,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
70,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
71,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
72,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
73,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
74,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
75,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
76,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
77,Sim.4,not chaotic,chaotic,not chaotic,not chaotic
78,Sim.4,not chaotic,chaotic,chaotic,not chaotic
79,Sim.4,not chaotic,not chaotic,chaotic,not chaotic
80,Sim.4,not chaotic,chaotic,chaotic,not chaotic
81,Sim.4,chaotic,not chaotic,not chaotic,not chaotic
82,Sim.4,chaotic,chaotic,not chaotic,not chaotic
83,Sim.4,chaotic,chaotic,not chaotic,not chaotic
84,Sim.4,chaotic,chaotic,not chaotic,not chaotic
85,Sim.4,chaotic,not chaotic,chaotic,not chaotic
86,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
87,Sim.4,not chaotic,not chaotic,chaotic,not chaotic
88,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
89,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
90,Sim.4,not chaotic,not chaotic,chaotic,not chaotic
91,Sim.4,not chaotic,not chaotic,chaotic,not chaotic
92,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
93,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
94,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
95,Sim.4,not chaotic,not chaotic,not chaotic,not chaotic
96,Sim.4,chaotic,not chaotic,chaotic,not chaotic
1,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
2,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
3,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
4,Sim.5,not chaotic,not chaotic,not chaotic,chaotic
5,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
6,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
7,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
8,Sim.5,chaotic,not chaotic,not chaotic,chaotic
9,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
10,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
11,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
12,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
13,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
14,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
15,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
16,Sim.5,chaotic,not chaotic,not chaotic,chaotic
17,Sim.5,chaotic,chaotic,not chaotic,chaotic
18,Sim.5,not chaotic,chaotic,not chaotic,chaotic
19,Sim.5,chaotic,chaotic,not chaotic,not chaotic
20,Sim.5,chaotic,chaotic,not chaotic,not chaotic
21,Sim.5,chaotic,chaotic,not chaotic,not chaotic
22,Sim.5,not chaotic,chaotic,not chaotic,not chaotic
23,Sim.5,chaotic,chaotic,not chaotic,not chaotic
24,Sim.5,not chaotic,chaotic,not chaotic,chaotic
25,Sim.5,not chaotic,chaotic,not chaotic,not chaotic
26,Sim.5,chaotic,chaotic,not chaotic,not chaotic
27,Sim.5,chaotic,chaotic,not chaotic,chaotic
28,Sim.5,chaotic,chaotic,not chaotic,not chaotic
29,Sim.5,not chaotic,chaotic,not chaotic,not chaotic
30,Sim.5,chaotic,chaotic,not chaotic,not chaotic
31,Sim.5,chaotic,chaotic,not chaotic,not chaotic
32,Sim.5,not chaotic,chaotic,not chaotic,chaotic
33,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
34,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
35,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
36,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
37,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
38,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
39,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
40,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
41,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
42,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
43,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
44,Sim.5,chaotic,not chaotic,not chaotic,not chaotic
45,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
46,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
47,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
48,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
49,Sim.5,not chaotic,chaotic,chaotic,chaotic
50,Sim.5,chaotic,chaotic,not chaotic,chaotic
51,Sim.5,chaotic,chaotic,chaotic,chaotic
52,Sim.5,chaotic,chaotic,chaotic,chaotic
53,Sim.5,chaotic,chaotic,chaotic,chaotic
54,Sim.5,chaotic,chaotic,chaotic,chaotic
55,Sim.5,chaotic,chaotic,chaotic,chaotic
56,Sim.5,chaotic,chaotic,chaotic,chaotic
57,Sim.5,chaotic,chaotic,chaotic,chaotic
58,Sim.5,not chaotic,chaotic,chaotic,chaotic
59,Sim.5,not chaotic,chaotic,chaotic,chaotic
60,Sim.5,chaotic,chaotic,chaotic,not chaotic
61,Sim.5,not chaotic,chaotic,chaotic,not chaotic
62,Sim.5,not chaotic,chaotic,chaotic,not chaotic
63,Sim.5,chaotic,chaotic,chaotic,not chaotic
64,Sim.5,chaotic,chaotic,chaotic,not chaotic
65,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
66,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
67,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
68,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
69,Sim.5,not chaotic,not chaotic,not chaotic,not chaotic
70,Sim.5,not chaotic,chaotic,not chaotic,not chaotic
